mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
69.31906785964966,1.20125221339474,15.850154924392701,0.7819887253020094,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.9787430683918669,0.9639222941720629,0.9824236817761333,0.9777983348751156,0.9759481961147086,0.9757676655567887,0.006286433614724874,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
64.46483659744263,11.708405677568905,15.165121078491211,4.523130811017411,10,10,poly,"{'C': 10, 'gamma': 10, 'kernel': 'poly'}",0.9787430683918669,0.9639222941720629,0.9824236817761333,0.9759481961147086,0.9750231267345051,0.975212726600074,0.006204640717317157,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
73.52613019943237,5.5054520276929315,16.964391040802003,0.8555538625059147,10,1,poly,"{'C': 10, 'gamma': 1, 'kernel': 'poly'}",0.9787430683918669,0.9639222941720629,0.9824236817761333,0.9759481961147086,0.9750231267345051,0.975212726600074,0.006204640717317157,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
69.86075201034546,1.752776182597776,17.04393606185913,0.7714479330923714,1,10,poly,"{'C': 1, 'gamma': 10, 'kernel': 'poly'}",0.9787430683918669,0.9639222941720629,0.9824236817761333,0.9759481961147086,0.9750231267345051,0.975212726600074,0.006204640717317157,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
50.04997072219849,5.4014295118564615,12.110643768310547,1.2229202955982534,0.01,1,poly,"{'C': 0.01, 'gamma': 1, 'kernel': 'poly'}",0.9787430683918669,0.9639222941720629,0.9824236817761333,0.9759481961147086,0.9750231267345051,0.975212726600074,0.006204640717317157,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
72.32006945610047,3.0990914038723196,17.3779034614563,0.537515195464276,1,1,poly,"{'C': 1, 'gamma': 1, 'kernel': 'poly'}",0.9787430683918669,0.9639222941720629,0.9824236817761333,0.9759481961147086,0.9750231267345051,0.975212726600074,0.006204640717317157,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
78.31027565002441,9.648690947942487,19.285210132598877,2.0826135973957127,0.01,10,poly,"{'C': 0.01, 'gamma': 10, 'kernel': 'poly'}",0.9787430683918669,0.9639222941720629,0.9824236817761333,0.9759481961147086,0.9750231267345051,0.975212726600074,0.006204640717317157,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
83.9090178489685,2.2366665284881138,20.132182788848876,0.52503782285527,1,0.01,poly,"{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}",0.9787430683918669,0.9648473635522664,0.9833487511563367,0.9759481961147086,0.9722479185938946,0.9750277469478358,0.006248747893008725,8,0.9928307123034228,0.993757225433526,0.9921387283236994,0.9923699421965317,0.993757225433526,0.9929707667381411,0.0006796952047328106
70.58671536445618,1.2220236344215334,18.232665920257567,2.1249975518682254,10,0.01,poly,"{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}",0.9787430683918669,0.9620721554116559,0.9814986123959297,0.9777983348751156,0.9740980573543015,0.9748427672955975,0.006809732709595885,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
88.50412540435791,0.6945731862054577,21.40449528694153,0.9879115663224297,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.9768946395563771,0.9648473635522664,0.9814986123959297,0.9740980573543015,0.969472710453284,0.9733629300776915,0.005776366761734968,10,0.9884366327474561,0.989364161849711,0.9872832369942196,0.9868208092485549,0.9877456647398843,0.9879301011159651,0.0008939891383790488
62.003946208953856,3.942844262156167,16.31688838005066,0.6968824081381797,0.01,0.01,linear,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'linear'}",0.9685767097966729,0.9602220166512488,0.9740980573543015,0.9574468085106383,0.9583718778908418,0.9637439881613022,0.006503272292041561,11,0.9747918593894542,0.9771098265895953,0.9743352601156069,0.9743352601156069,0.9761849710982659,0.9753514354617059,0.0011104117312718872
57.07894406318665,4.097140515014103,13.556469392776489,0.7525223967870501,0.01,10,linear,"{'C': 0.01, 'gamma': 10, 'kernel': 'linear'}",0.9685767097966729,0.9602220166512488,0.9740980573543015,0.9574468085106383,0.9583718778908418,0.9637439881613022,0.006503272292041561,11,0.9747918593894542,0.9771098265895953,0.9743352601156069,0.9743352601156069,0.9761849710982659,0.9753514354617059,0.0011104117312718872
57.34566359519958,3.479440842091658,13.475407028198243,1.3349877440251368,0.01,1,linear,"{'C': 0.01, 'gamma': 1, 'kernel': 'linear'}",0.9685767097966729,0.9602220166512488,0.9740980573543015,0.9574468085106383,0.9583718778908418,0.9637439881613022,0.006503272292041561,11,0.9747918593894542,0.9771098265895953,0.9743352601156069,0.9743352601156069,0.9761849710982659,0.9753514354617059,0.0011104117312718872
55.837341928482054,1.6606277483504406,13.3692223072052,0.849035199882566,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.9648798521256932,0.9500462534690102,0.967622571692877,0.9629972247918593,0.96577243293247,0.9622641509433962,0.006287237643158928,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
